Timestamp,"Grado escolar (Aula de cómputo u oficinas marcar ""otro"")",Grupo,¿Cuántos alumnos en total asistieron a clase a este salón de clase el día de hoy?, ¿Se reportó HOY algún nuevo caso de Covid en alguna persona que haya usado este salón de clase  (personal docente o alumnos)?,¿Cuál de las siguientes opciones describe mejor el uso del cubre bocas en este salón de clase?,¿Cuál de las siguientes opciones describe mejor el uso del purificador el día de hoy?,¿Cuál es la razón por la que no fue usado o estuvo apagado temporalmente el purificador?,¿Cuál de las siguientes opciones describe mejor la situación de las ventanas de este salón de clase?,¿Por qué razón se decidió cerrar o mantener cerradas las ventanas durante la jornada escolar de hoy?,¿Cuál de las siguientes opciones describe mejor la situación de la puerta principal de este salón de clase?,¿Por qué razón se decidió cerrar o mantener cerrada la puerta durante la jornada escolar de hoy?,Turno,¿Puedes subir una foto o video  de tu salón de clases donde se vea el purificador y los alumnos (de espaldas)?
8/27/2021 12:29:59,5to,A,15,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,,
8/27/2021 12:30:01,3ero,B,15,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,,
8/27/2021 12:30:20,3ero,A,15,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,,
8/27/2021 12:30:23,4to,B,15,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,,
8/27/2021 12:30:26,2do,B,15,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas más de la mitad del tiempo de la jornada escolar de hoy,Por el ruido ,La puerta estuvo abierta toda la jornada escolar de hoy,,,
8/27/2021 12:30:32,1ero,B,10,No sabe,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,,
8/27/2021 12:30:36,6to,A,15,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,,
8/27/2021 12:30:39,6to,B,15,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas más de la mitad del tiempo de la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,,
8/27/2021 12:30:55,4to,A,15,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,,
8/27/2021 12:31:23,1ero,A,15,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta más de la mitad del tiempo de la jornada escolar de hoy,,,
8/27/2021 12:31:36,Otro,No aplica,15,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas permanecieron cerradas toda la jornada escolar de hoy,No se pueden abtir,La puerta estuvo abierta toda la jornada escolar de hoy,,,
8/27/2021 12:31:52,1ero,A,15,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,,
8/30/2021 11:45:51,1ero,A,4,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/30/2021 12:47:12,6to,A,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/30/2021 12:51:12,5to,A,3,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/30/2021 12:51:56,2do,A,6,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/30/2021 13:35:38,3ero,B,6,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/30/2021 13:39:03,6to,B,8,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/30/2021 14:04:25,3ero,A,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/30/2021 14:58:44,2do,B,5,No,Más de la mitad de las personas en este salón utilizaron cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/30/2021 15:38:01,5to,B,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas más de la mitad del tiempo de la jornada escolar de hoy,Las que estan de lado de turismo estan trabadas,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/30/2021 15:39:17,3ero,A,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/30/2021 15:45:41,4to,B,6,No sabe,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/30/2021 15:46:26,4to,A,6,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/30/2021 15:54:10,1ero,B,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/30/2021 17:49:09,5to,B,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/30/2021 18:48:51,1ero,No aplica,4,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Vespertino,
8/30/2021 20:01:44,3ero,A,8,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se usó más de la mitad del tiempo,La hora del recreo se apago,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Vespertino,
8/30/2021 21:03:21,4to,A,3,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Vespertino,
8/30/2021 21:04:33,4to,A,3,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Vespertino,
8/31/2021 12:18:28,3ero,A,4,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/31/2021 12:21:00,5to,A,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/31/2021 12:23:34,6to,A,5,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/31/2021 12:24:53,1ero,B,5,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/31/2021 12:25:37,4to,B,9,No sabe,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/31/2021 12:26:27,4to,A,4,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/31/2021 12:26:46,1ero,A,6,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/31/2021 12:33:02,3ero,B,6,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/31/2021 12:34:06,5to,B,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/31/2021 12:40:55,2do,A,6,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/31/2021 13:39:31,6to,B,6,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/31/2021 14:05:15,2do,B,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
8/31/2021 18:14:22,6to,A,11,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Vespertino,
8/31/2021 18:18:28,2do,A,3,No sabe,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se usó más de la mitad del tiempo,No fue necesario el or la cantidad de alumnos y la ventilación ,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Vespertino,
8/31/2021 19:05:35,1ero,No aplica,4,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,Hoy no fue utilizado el purificador,Porque no hubo luz en el salón durante toda la jornada ,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Vespertino,
9/1/2021 12:16:42,3ero,A,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/1/2021 12:18:48,3ero,B,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/1/2021 12:23:20,1ero,A,4,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/1/2021 12:23:32,4to,B,5,No sabe,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/1/2021 12:24:33,6to,A,8,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/1/2021 12:25:24,5to,A,5,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/1/2021 12:27:29,4to,A,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/1/2021 12:31:08,5to,B,6,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/1/2021 12:31:41,Otro,No aplica,Somos 4 personal de la UDEEI-150,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas permanecieron cerradas toda la jornada escolar de hoy,Por sugerencia del técnico,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/1/2021 12:41:19,2do,A,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/1/2021 12:50:27,2do,B,5,No,Más de la mitad de las personas en este salón utilizaron cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/1/2021 12:54:22,6to,B,8,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/1/2021 12:55:07,1ero,B,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/1/2021 19:05:17,3ero,A,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Vespertino,
9/1/2021 19:05:17,1ero,No aplica,4,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Vespertino,
9/1/2021 19:51:46,2do,A,2,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Vespertino,
9/1/2021 21:06:19,4to,A,6,No sabe,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Vespertino,
9/2/2021 12:08:52,3ero,A,3,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/2/2021 12:22:39,6to,A,5,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/2/2021 12:26:01,4to,A,5,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/2/2021 12:26:09,1ero,A,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
9/2/2021 12:27:53,1ero,B,4,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,Matutino,
